time,pitch,energy
0.0,,0.0
0.01,,0.0
0.02,,0.0
0.03,,0.0
0.04,,0.0
0.05,,0.0
0.06,,0.0
0.07,,47.89785833542579
0.08,,47.92023580976492
0.09,,47.93404351756247
0.1,,47.9373500032672
0.11,,47.93389083876586
0.12,,47.92777297993015
0.13,,47.91129925248675
0.14,,47.87792361513081
0.15,,47.83744571059947
0.16,,47.811766723630285
0.17,,47.81456042829268
0.18,,47.83127653208179
0.19,,47.83722121953571
0.2,,47.83581640011748
0.21,,47.84631452099389
0.22,,47.864906486399654
0.23,,47.87893471796499
0.24,,47.894857076021886
0.25,,47.91617601527939
0.26,,47.92979496425516
0.27,,47.92901489021527
0.28,,47.91451944859846
0.29,,47.886846882221214
0.3,,47.86091238938922
0.31,,47.85124288913553
0.32,,47.84254271019196
0.33,,47.822739499097445
0.34,,47.82854492337604
0.35000000000000003,,47.92546392417304
0.36,,48.14891348913422
0.37,,48.45526572636588
0.38,,48.90394774549059
0.39,,50.24783351812455
0.4,,53.67791643514195
0.41000000000000003,,59.18167591385548
0.42,,65.23141399810973
0.43,,70.38674124926914
0.44,,74.13053656516423
0.45,,76.51247746782177
0.46,,77.8112256986778
0.47000000000000003,,78.39200748145953
0.48,,78.53570764748815
0.49,,78.34560656458791
0.5,,77.88592313375244
0.51,,77.31375202255978
0.52,,76.79107673368458
0.53,,76.39861957514002
0.54,,76.16500758791784
0.55,,76.05668221207587
0.56,,76.00299185084107
0.5700000000000001,,75.97672475892742
0.58,,75.93972285531531
0.59,,75.79484624410276
0.6,,75.50004404319841
0.61,,75.09394287588223
0.62,,74.56809101223956
0.63,,73.89871598801261
0.64,,73.27003389730673
0.65,,73.07502276433968
0.66,,73.46976724777258
0.67,,74.11698282224194
0.68,,74.58779188806187
0.6900000000000001,,74.7332644035883
0.7000000000000001,,74.65854266456589
0.71,,74.58966132490063
0.72,,74.73958347470985
0.73,,75.1537006074033
0.74,,75.64738339511618
0.75,,75.96127075057076
0.76,,75.98622694314672
0.77,,75.84176829047863
0.78,,75.72483251176074
0.79,,75.6279705313197
0.8,,75.29297852400552
0.81,,74.48375150349787
0.8200000000000001,,73.19772507746595
0.8300000000000001,,71.63563626506819
0.84,,70.07427092185702
0.85,,68.84911709905491
0.86,,68.4857293982439
0.87,,69.53863290695638
0.88,,71.77443053686552
0.89,,74.18912299238106
0.9,,76.10148256674738
0.91,,77.3151796095846
0.92,,77.77120295744794
0.93,,77.52461967564646
0.9400000000000001,,76.87041503552594
0.9500000000000001,,76.26612173143957
0.96,,75.93040964094986
0.97,,75.7159273963557
0.98,,75.49641058981285
0.99,,75.3189438211665
1.0,545.0,75.21825314103664
1.01,552.0,75.17936535713983
1.02,558.0,75.20739406091049
